,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,season,Team Code,Player Code,Next Pts,player_year,Pts corr,Adj Pts corr,Pts diff,pts_year,Missing_Prev_Year,Total_Games_Played,Avg_Games_Per_Year,Change_Games_Played,Significant_Drop_Games_Played,Overall_Injury_Metric,Normalized_Injury_Metric
373,Alperen Şengün,C,0.07692307692307698,HOU,0.8809523809523809,0.8674698795180723,0.6613272311212814,0.4645669291338583,0.3848920863309352,0.553,0.05660377358490566,0.06060606060606061,0.333,0.46280991735537186,0.4230769230769231,0.57,0.3766666666666666,0.26470588235294124,0.2900763358778626,0.715,0.4705882352941177,0.47154471544715443,0.48128342245989303,0.2746478873239437,0.3,0.19999999999999998,0.45614035087719296,0.5666666666666667,0.4099722991689751,2023,Houston Rockets,0.2272727272727273,0.8095238095238095,0.2066326530612245,0.5178571428571428,0.7422680412371134,0.7426160337552741,0.2666163141993958,2022-2023,11,85,,1,1.0,-0.0,1.541666666666667,1.5021349846862355,0,1.7261904761904763,0.8630952380952381,0.0357142857142857,0,0.2696428571428572,0.16219158516299284
422,Amir Coffey,SF,0.2692307692307693,LAC,0.5833333333333334,0.10843373493975904,0.2860411899313501,0.08661417322834647,0.10431654676258992,0.386,0.03773584905660378,0.06060606060606061,0.275,0.0743801652892562,0.08974358974358974,0.429,0.2826666666666666,0.09803921568627452,0.09923664122137406,0.778,0.04411764705882353,0.056910569105691054,0.05882352941176471,0.07746478873239437,0.03333333333333333,0.022222222222222223,0.07017543859649122,0.16666666666666666,0.09418282548476453,2023,Los Angeles Clippers,0.5606060606060607,0.4603174603174603,0.5497448979591837,0.07142857142857142,0.8170103092783503,0.6265822784810124,0.5660876132930514,2022-2023,13,98,,3,0.28806626286156317,-1047.7690145932206,0.3777777777777777,0.3450850640495405,0,2.107142857142857,0.5267857142857143,-0.22619047619047616,0,0.19553571428571437,0.1264098030848016
479,Andre Drummond,C,0.42307692307692313,CHI,0.7857142857142857,0.0,0.29061784897025167,0.19685039370078738,0.14748201438848918,0.606,0.0,0.0,0.0,0.2066115702479339,0.17094017094017094,0.613,0.40399999999999997,0.09803921568627452,0.1450381679389313,0.536,0.3088235294117647,0.37398373983739835,0.3529411764705882,0.035211267605633804,0.2333333333333333,0.08888888888888889,0.1929824561403509,0.2833333333333333,0.16620498614958448,2023,Chicago Bulls,0.5,0.5238095238095237,0.4872448979591837,0.3214285714285714,0.804123711340206,0.5991561181434597,0.6061178247734139,2022-2023,5,106,,10,-0.16474736107617197,201.81551731831067,0.759493670886076,0.6089736424403657,0,9.214285714285714,0.8376623376623376,-0.0714285714285714,0,0.9837662337662337,0.5069978488255632
500,Andre Iguodala,PF,0.8076923076923077,GSW,0.08333333333333333,0.0,0.3226544622425629,0.07086614173228346,0.06834532374100719,0.467,0.01886792452830189,0.08333333333333334,0.111,0.06611570247933884,0.03418803418803419,1.0,0.3333333333333333,0.029411764705882356,0.03053435114503817,0.667,0.05882352941176471,0.14634146341463414,0.11229946524064172,0.16901408450704225,0.16666666666666666,0.08888888888888889,0.1929824561403509,0.2333333333333333,0.05817174515235457,2023,Golden State Warriors,0.5606060606060607,0.4603174603174603,0.5497448979591837,0.07142857142857142,0.9536082474226801,0.7109704641350207,0.6170694864048338,2022-2023,10,108,,18,-0.8302869212991298,323.9429972416026,0.525,0.213140774854128,0,14.428571428571429,0.7593984962406015,-0.2738095238095238,0,1.4366541353383462,0.7256695662218402
619,Andrew Wiggins,SF,0.34615384615384626,GSW,0.42857142857142855,0.44578313253012053,0.736842105263158,0.5354330708661417,0.5143884892086331,0.473,0.4528301886792453,0.4621212121212121,0.396,0.3636363636363637,0.3504273504273504,0.53,0.37133333333333335,0.11764705882352942,0.1450381679389313,0.611,0.23529411764705885,0.2764227642276423,0.26737967914438504,0.1619718309859155,0.39999999999999997,0.17777777777777778,0.22807017543859648,0.4833333333333333,0.4736842105263158,2023,Golden State Warriors,0.5606060606060607,0.4603174603174603,0.5497448979591837,0.07142857142857142,0.9536082474226801,0.7109704641350207,0.6170694864048338,2022-2023,10,128,,8,-0.29773305709645703,381.7599420992349,0.9941860465116281,1.7355748809550422,0,7.4523809523809526,0.828042328042328,-0.42857142857142855,0,0.6994708994708995,0.36972911459285906
660,Anfernee Simons,SG,0.1923076923076924,POR,0.7261904761904762,0.746987951807229,0.8009153318077803,0.5905511811023622,0.6079136690647481,0.447,0.6415094339622642,0.6893939393939393,0.377,0.33884297520661155,0.3333333333333333,0.528,0.36533333333333334,0.25490196078431376,0.22137404580152673,0.894,0.04411764705882353,0.18699186991869918,0.13903743315508021,0.2887323943661972,0.2333333333333333,0.044444444444444446,0.3684210526315789,0.3833333333333333,0.5844875346260388,2023,Portland Trail Blazers,0.3939393939393939,0.6349206349206349,0.37755102040816324,0.3571428571428571,0.8118556701030926,0.7172995780590719,0.404833836858006,2022-2023,28,136,,4,0.9539499405401447,-0.0,1.2196531791907512,2.1415573092486193,0,3.1904761904761902,0.638095238095238,0.059523809523809534,0,0.4007142857142857,0.22547791780249257
736,Anthony Davis,C,0.42307692307692313,LAL,0.6547619047619048,0.6506024096385542,0.7780320366132722,0.7637795275590551,0.618705035971223,0.563,0.05660377358490566,0.0984848484848485,0.257,0.7685950413223142,0.6794871794871795,0.589,0.38199999999999995,0.607843137254902,0.6030534351145038,0.784,0.5147058823529412,0.7398373983739837,0.6684491978609626,0.18309859154929578,0.3666666666666667,0.4444444444444444,0.3859649122807018,0.43333333333333335,0.7174515235457063,2023,Los Angeles Lakers,0.5454545454545454,0.4761904761904762,0.5331632653061225,0.08928571428571427,0.9097938144329896,0.7004219409282699,0.570619335347432,2022-2023,14,147,,10,0.4771052015979695,-523.5145257534083,1.1163793103448276,2.6287362232009115,0,7.726190476190476,0.7023809523809524,0.19047619047619052,0,0.9,0.46655228573170415
739,Anthony Edwards,SG,0.11538461538461542,MIN,0.9285714285714286,0.9518072289156627,0.8237986270022883,0.7007874015748031,0.7014388489208633,0.459,0.509433962264151,0.553030303030303,0.369,0.5206611570247934,0.5213675213675214,0.513,0.352,0.3921568627450981,0.40458015267175573,0.756,0.08823529411764706,0.42276422764227645,0.3101604278074866,0.3098591549295775,0.5333333333333333,0.15555555555555553,0.5789473684210525,0.39999999999999997,0.6814404432132964,2023,Minnesota Timberwolves,0.5303030303030303,0.49206349206349204,0.5178571428571428,0.19642857142857142,0.8737113402061851,0.683544303797468,0.5460725075528701,2022-2023,18,148,,2,0.9901210496097999,-0.0,1.1549295774647887,2.4967919340054996,0,2.619047619047619,0.873015873015873,0.08333333333333337,0,0.37420634920634926,0.21267886536434977
744,Anthony Gill,PF,0.4615384615384617,WAS,0.6904761904761905,0.0963855421686747,0.2425629290617849,0.09448818897637795,0.07913669064748202,0.538,0.01886792452830189,0.03787878787878788,0.138,0.09090909090909093,0.07264957264957266,0.65,0.3686666666666667,0.07843137254901962,0.08396946564885498,0.731,0.08823529411764706,0.08943089430894309,0.0909090909090909,0.04225352112676056,0.03333333333333333,0.044444444444444446,0.05263157894736842,0.19999999999999998,0.09141274238227146,2023,Washington Wizards,0.4242424242424242,0.6031746031746033,0.409438775510204,0.1607142857142857,0.8067010309278349,0.6540084388185652,0.5143504531722054,2022-2023,36,150,,2,0.1889822365046119,-903.9020372015588,0.8048780487804879,0.33493550334220107,0,1.5,0.5,0.1785714285714286,0,0.2535714285714286,0.15443168061591522
768,Anthony Lamb,SF,0.2692307692307693,GSW,0.7261904761904762,0.04819277108433735,0.4416475972540046,0.1889763779527559,0.1834532374100719,0.471,0.22641509433962265,0.24242424242424243,0.367,0.09917355371900827,0.0811965811965812,0.652,0.39199999999999996,0.06862745098039216,0.07633587786259542,0.767,0.1323529411764706,0.21138211382113822,0.18716577540106952,0.1056338028169014,0.16666666666666666,0.06666666666666667,0.15789473684210525,0.3666666666666667,0.18559556786703602,2023,Golden State Warriors,0.5606060606060607,0.4603174603174603,0.5497448979591837,0.07142857142857142,0.9536082474226801,0.7109704641350207,0.6170694864048338,2022-2023,10,154,,2,0.16794581822257054,-0.0,1.0,0.6800205673917417,0,1.0119047619047619,0.33730158730158727,0.7142857142857143,0,0.3492063492063492,0.2006079027355623
